0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:52:33 +0530] "GET /CargoTransportWeb/adminlocation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:52:40 +0530] "GET /CargoTransportWeb/viewCargo.jsp HTTP/1.1" 200 11754
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:52:49 +0530] "GET /CargoTransportWeb/viewallusers.jsp HTTP/1.1" 200 18193
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:53:11 +0530] "GET /CargoTransportWeb/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:54:22 +0530] "POST /CargoTransportWeb/UserLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:54:22 +0530] "GET /CargoTransportWeb/usermain.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:54:32 +0530] "GET /CargoTransportWeb/userlocation.jsp HTTP/1.1" 200 8995
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:55:21 +0530] "POST /CargoTransportWeb/Usermainpage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:55:21 +0530] "GET /CargoTransportWeb/usermain.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:55:28 +0530] "GET /CargoTransportWeb/userlocation.jsp HTTP/1.1" 200 8995
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:55:34 +0530] "GET /CargoTransportWeb/viewCargo.jsp HTTP/1.1" 200 11754
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:55:40 +0530] "GET /CargoTransportWeb/userbookingstatus.jsp HTTP/1.1" 200 9120
